Gen 293:   aveUtil = 559.861
Gen 294:   aveUtil = 560.586
Gen 295:   aveUtil = 560.404
Gen 296:   aveUtil = 560.753
Gen 297:   aveUtil = 558.36
Gen 298:   aveUtil = 561.519
Gen 299:   aveUtil = 561.875
Gen 300:   aveUtil = 558.099
Gen 301:   aveUtil = 561.3
Gen 302:   aveUtil = 561.609
Gen 303:   aveUtil = 562.68
Gen 304:   aveUtil = 563.925
Gen 305:   aveUtil = 562.285
Gen 306:   aveUtil = 562.869
Gen 307:   aveUtil = 564.518
Gen 308:   aveUtil = 564.653
Gen 309:   aveUtil = 567.144
Gen 310:   aveUtil = 566.234
Gen 311:   aveUtil = 567.223
Gen 312:   aveUtil = 566.715
Gen 313:   aveUtil = 567.967
Gen 314:   aveUtil = 568.084
Gen 315:   aveUtil = 569.528
Gen 316:   aveUtil = 571.359
Gen 317:   aveUtil = 572.054
Gen 318:   aveUtil = 568.912
Gen 319:   aveUtil = 570.777
Gen 320:   aveUtil = 570.926
Gen 321:   aveUtil = 571.699
Gen 322:   aveUtil = 573.31
Gen 323:   aveUtil = 572.166
Gen 324:   aveUtil = 569.261
Gen 325:   aveUtil = 572.332
Gen 326:   aveUtil = 573.042
Gen 327:   aveUtil = 574.607
Gen 328:   aveUtil = 575.455
Gen 329:   aveUtil = 574.137
Gen 330:   aveUtil = 577.613
Gen 331:   aveUtil = 575.992
Gen 332:   aveUtil = 572.448
Gen 333:   aveUtil = 578.504
Gen 334:   aveUtil = 575.779
Gen 335:   aveUtil = 577.951
Gen 336:   aveUtil = 578.789
Gen 337:   aveUtil = 579.558
Gen 338:   aveUtil = 579.153
Gen 339:   aveUtil = 577.843
Gen 340:   aveUtil = 577.381
Gen 341:   aveUtil = 579.183
Gen 342:   aveUtil = 579.228
Gen 343:   aveUtil = 582.296
Gen 344:   aveUtil = 581.364
Gen 345:   aveUtil = 579.934
Gen 346:   aveUtil = 582.399
Gen 347:   aveUtil = 582.5
Gen 348:   aveUtil = 582.192
Gen 349:   aveUtil = 579.089
Gen 350:   aveUtil = 582.968
Gen 351:   aveUtil = 580.739
Gen 352:   aveUtil = 582.326
Gen 353:   aveUtil = 582.986
Gen 354:   aveUtil = 583.513
Gen 355:   aveUtil = 584.985
Gen 356:   aveUtil = 583.222
Gen 357:   aveUtil = 584.294
Gen 358:   aveUtil = 583.839
Gen 359:   aveUtil = 583.488
Gen 360:   aveUtil = 583.841
Gen 361:   aveUtil = 585.164
Gen 362:   aveUtil = 583.425
Gen 363:   aveUtil = 586.267
Gen 364:   aveUtil = 586.219
Gen 365:   aveUtil = 587.403
Gen 366:   aveUtil = 585.918
Gen 367:   aveUtil = 588.488
Gen 368:   aveUtil = 589.869
Gen 369:   aveUtil = 589.201
Gen 370:   aveUtil = 589.621
Gen 371:   aveUtil = 593.202
Gen 372:   aveUtil = 588.806
Gen 373:   aveUtil = 588.334
Gen 374:   aveUtil = 591.327
Gen 375:   aveUtil = 590.061
Gen 376:   aveUtil = 590.033
Gen 377:   aveUtil = 590.884
Gen 378:   aveUtil = 591.587
Gen 379:   aveUtil = 595.006
Gen 380:   aveUtil = 594.93
Gen 381:   aveUtil = 594.297
Gen 382:   aveUtil = 594.979
Gen 383:   aveUtil = 595.416
Gen 384:   aveUtil = 593.854
Gen 385:   aveUtil = 594.388
Gen 386:   aveUtil = 596.417
Gen 387:   aveUtil = 593.961
