Gen 383:    aveUtil = 537.042
Gen 384:    aveUtil = 533.663
Gen 385:    aveUtil = 536.764
Gen 386:    aveUtil = 535.653
Gen 387:    aveUtil = 531.851
Gen 388:    aveUtil = 532.922
Gen 389:    aveUtil = 533.204
Gen 390:    aveUtil = 532.627
Gen 391:    aveUtil = 533.494
Gen 392:    aveUtil = 533.367
Gen 393:    aveUtil = 535.038
Gen 394:    aveUtil = 535.169
Gen 395:    aveUtil = 535.591
Gen 396:    aveUtil = 535.616
Gen 397:    aveUtil = 535.591
Gen 398:    aveUtil = 537.162
Gen 399:    aveUtil = 541.663
Gen 400:    aveUtil = 541.229
Gen 401:    aveUtil = 538.321
Gen 402:    aveUtil = 542.995
Gen 403:    aveUtil = 540.492
Gen 404:    aveUtil = 538.566
Gen 405:    aveUtil = 538.32
Gen 406:    aveUtil = 539.05
Gen 407:    aveUtil = 542.176
Gen 408:    aveUtil = 540.381
Gen 409:    aveUtil = 544.255
Gen 410:    aveUtil = 540.048
Gen 411:    aveUtil = 537.323
Gen 412:    aveUtil = 542.804
Gen 413:    aveUtil = 538.191
Gen 414:    aveUtil = 542.351
Gen 415:    aveUtil = 541.699
Gen 416:    aveUtil = 543.484
Gen 417:    aveUtil = 545.595
Gen 418:    aveUtil = 543.3
Gen 419:    aveUtil = 536.285
Gen 420:    aveUtil = 544.053
Gen 421:    aveUtil = 542.18
Gen 422:    aveUtil = 548.385
Gen 423:    aveUtil = 544.165
Gen 424:    aveUtil = 549.362
Gen 425:    aveUtil = 546.405
Gen 426:    aveUtil = 545.31
Gen 427:    aveUtil = 546.806
Gen 428:    aveUtil = 547.885
Gen 429:    aveUtil = 548.962
Gen 430:    aveUtil = 546.578
Gen 431:    aveUtil = 547.913
Gen 432:    aveUtil = 550.693
Gen 433:    aveUtil = 550.391
Gen 434:    aveUtil = 547.839
Gen 435:    aveUtil = 547.904
Gen 436:    aveUtil = 550.272
Gen 437:    aveUtil = 548.012
Gen 438:    aveUtil = 551.455
Gen 439:    aveUtil = 551.094
Gen 440:    aveUtil = 550.268
Gen 441:    aveUtil = 550.762
Gen 442:    aveUtil = 549.036
Gen 443:    aveUtil = 553.069
Gen 444:    aveUtil = 552.196
Gen 445:    aveUtil = 550.499
Gen 446:    aveUtil = 552.308
Gen 447:    aveUtil = 554.872
Gen 448:    aveUtil = 553.724
Gen 449:    aveUtil = 556.893
Gen 450:    aveUtil = 557.58
Gen 451:    aveUtil = 560.877
Gen 452:    aveUtil = 557.465
Gen 453:    aveUtil = 557.62
Gen 454:    aveUtil = 554.813
Gen 455:    aveUtil = 561.096
Gen 456:    aveUtil = 560.046
Gen 457:    aveUtil = 557.045
Gen 458:    aveUtil = 563.842
Gen 459:    aveUtil = 560.879
Gen 460:    aveUtil = 560.843
Gen 461:    aveUtil = 562.391
Gen 462:    aveUtil = 561.996
Gen 463:    aveUtil = 565.43
Gen 464:    aveUtil = 565.896
Gen 465:    aveUtil = 566.726
Gen 466:    aveUtil = 564.495
Gen 467:    aveUtil = 568.178
Gen 468:    aveUtil = 563.343
Gen 469:    aveUtil = 565.012
Gen 470:    aveUtil = 566.357
Gen 471:    aveUtil = 572.397
Gen 472:    aveUtil = 568.578
Gen 473:    aveUtil = 568.22
Gen 474:    aveUtil = 566.804
Gen 475:    aveUtil = 567.451
Gen 476:    aveUtil = 568.091
Gen 477:    aveUtil = 569.329
Gen 478:    aveUtil = 564.934
Gen 479:    aveUtil = 569.472
Gen 480:    aveUtil = 569.273
Gen 481:    aveUtil = 569.487
Gen 482:    aveUtil = 571.222
Gen 483:    aveUtil = 567.911
Gen 484:    aveUtil = 567.245
Gen 485:    aveUtil = 570.449
Gen 486:    aveUtil = 570.843
Gen 487:    aveUtil = 567.818
Gen 488:    aveUtil = 572.798
Gen 489:    aveUtil = 570.517
