Gen 296:    aveUtil = 438.9912000000007
Gen 297:    aveUtil = 434.70440000000036
Gen 298:    aveUtil = 443.0884000000006
Gen 299:    aveUtil = 437.46560000000034
Gen 300:    aveUtil = 441.6740000000001
Gen 301:    aveUtil = 438.30199999999974
Gen 302:    aveUtil = 436.0561999999997
Gen 303:    aveUtil = 439.963
Gen 304:    aveUtil = 438.5651999999996
Gen 305:    aveUtil = 441.02139999999963
Gen 306:    aveUtil = 440.9236000000001
Gen 307:    aveUtil = 439.3916000000004
Gen 308:    aveUtil = 443.13400000000047
Gen 309:    aveUtil = 441.9169999999998
Gen 310:    aveUtil = 440.75659999999993
Gen 311:    aveUtil = 440.786
Gen 312:    aveUtil = 446.5204000000004
Gen 313:    aveUtil = 443.8288000000003
Gen 314:    aveUtil = 443.81660000000016
Gen 315:    aveUtil = 446.40100000000047
Gen 316:    aveUtil = 447.3384000000002
Gen 317:    aveUtil = 443.0062000000002
Gen 318:    aveUtil = 442.0608
Gen 319:    aveUtil = 451.5000000000003
Gen 320:    aveUtil = 442.3050000000004
Gen 321:    aveUtil = 444.3598000000002
Gen 322:    aveUtil = 445.7256000000002
Gen 323:    aveUtil = 447.4173999999999
Gen 324:    aveUtil = 446.95139999999975
Gen 325:    aveUtil = 448.6305999999992
Gen 326:    aveUtil = 448.48500000000007
Gen 327:    aveUtil = 451.1266000000001
Gen 328:    aveUtil = 447.90299999999996
Gen 329:    aveUtil = 450.0352000000003
Gen 330:    aveUtil = 451.2422000000002
Gen 331:    aveUtil = 449.21340000000043
Gen 332:    aveUtil = 447.4596000000003
Gen 333:    aveUtil = 438.6176000000002
Gen 334:    aveUtil = 448.3146000000004
Gen 335:    aveUtil = 447.0894000000001
Gen 336:    aveUtil = 443.0086000000002
Gen 337:    aveUtil = 444.95800000000037
Gen 338:    aveUtil = 446.0106000000003
Gen 339:    aveUtil = 437.7360000000003
Gen 340:    aveUtil = 441.46200000000016
Gen 341:    aveUtil = 453.3326000000002
Gen 342:    aveUtil = 446.40240000000045
Gen 343:    aveUtil = 446.7353999999999
Gen 344:    aveUtil = 443.56739999999957
Gen 345:    aveUtil = 445.01920000000024
Gen 346:    aveUtil = 447.04059999999976
Gen 347:    aveUtil = 441.33679999999976
Gen 348:    aveUtil = 450.5473999999997
Gen 349:    aveUtil = 448.1313999999997
Gen 350:    aveUtil = 442.3190000000006
Gen 351:    aveUtil = 440.5600000000005
Gen 352:    aveUtil = 440.13480000000027
Gen 353:    aveUtil = 442.4188000000001
Gen 354:    aveUtil = 439.84260000000006
Gen 355:    aveUtil = 440.9914000000003
Gen 356:    aveUtil = 441.7488000000001
Gen 357:    aveUtil = 443.5440000000004
Gen 358:    aveUtil = 445.12340000000023
Gen 359:    aveUtil = 445.49500000000046
Gen 360:    aveUtil = 446.54280000000057
Gen 361:    aveUtil = 447.70080000000087
Gen 362:    aveUtil = 450.5920000000006
Gen 363:    aveUtil = 451.19240000000025
Gen 364:    aveUtil = 449.9871999999999
Gen 365:    aveUtil = 455.3691999999999
Gen 366:    aveUtil = 452.04879999999974
Gen 367:    aveUtil = 459.95399999999944
Gen 368:    aveUtil = 454.0787999999994
Gen 369:    aveUtil = 457.0469999999997
Gen 370:    aveUtil = 454.7522
Gen 371:    aveUtil = 456.16840000000064
Gen 372:    aveUtil = 448.3446000000001
Gen 373:    aveUtil = 450.3826
Gen 374:    aveUtil = 454.72619999999984
Gen 375:    aveUtil = 459.79740000000015
Gen 376:    aveUtil = 458.27820000000054
Gen 377:    aveUtil = 461.42300000000057
Gen 378:    aveUtil = 464.24220000000093
Gen 379:    aveUtil = 460.3962000000005
Gen 380:    aveUtil = 454.40180000000066
Gen 381:    aveUtil = 452.7737999999998
Gen 382:    aveUtil = 463.1642000000003
Gen 383:    aveUtil = 457.71180000000044
Gen 384:    aveUtil = 462.3530000000004
Gen 385:    aveUtil = 458.5632000000007
Gen 386:    aveUtil = 454.57720000000023
Gen 387:    aveUtil = 458.99720000000013
Gen 388:    aveUtil = 460.90080000000034
Gen 389:    aveUtil = 459.8382000000003
Gen 390:    aveUtil = 454.9607999999999
Gen 391:    aveUtil = 459.48159999999984
Gen 392:    aveUtil = 458.13620000000003
Gen 393:    aveUtil = 453.3361999999999
Gen 394:    aveUtil = 460.0736000000003
